id,abbr,name,publisher,url,class,type,category
1,TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/,A,Journal,1
2,TOS,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos/,A,Journal,1
3,TCAD,IEEE Transactions On Computer-Aided Design Of Integrated Circuits And System,IEEE,http://dblp.uni-trier.de/db/journals/tcad/,A,Journal,1
4,TC,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/,A,Journal,1
5,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/,A,Journal,1
6,TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.uni-trier.de/db/journals/taco/,A,Journal,1
7,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.uni-trier.de/db/journals/taas/,B,Journal,1
8,TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.uni-trier.de/db/journals/todaes/,B,Journal,1
9,TECS,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/tecs/,B,Journal,1
10,TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.uni-trier.de/db/journals/trets/,B,Journal,1
11,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.uni-trier.de/db/journals/tvlsi/,B,Journal,1
12,JPDC,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.uni-trier.de/db/journals/jpdc/,B,Journal,1
13,JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.uni-trier.de/db/journals/jsa/,B,Journal,1
14,PARCO,Parallel Computing,Elsevier,http://dblp.uni-trier.de/db/conf/parco/,B,Journal,1
15,,Performance Evaluation: An International Journal,Elsevier,http://www.journals.elsevier.com/performance-evaluation/,B,Journal,1
16,JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/jetc/,C,Journal,1
17,,Concurrency and Computation: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/concurrency/,C,Journal,1
18,DC,Distributed Computing,Springer,http://dblp.uni-trier.de/db/journals/dc/,C,Journal,1
19,FGCS,Future Generation Computer Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fgcs/,C,Journal,1
20,TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.uni-trier.de/db/journals/tcc/,C,Journal,1
21,Integration,"Integration, the VLSI Journal",Elsevier,http://dblp.uni-trier.de/db/journals/integration/,C,Journal,1
22,JETTA,Journal of Electronic Testing-Theory and Applications,Springer,http://link.springer.com/journal/10836,C,Journal,1
23,JGC,The Journal of Grid computing,Springer,http://link.springer.com/journal/10723,C,Journal,1
24,RTS,Real-Time Systems,Springer,http://dblp.uni-trier.de/db/journals/rts/,C,Journal,1
25,TJSC,The Journal of Supercomputing,Springer,http://dblp.uni-trier.de/db/journals/tjs/,C,Journal,1
26,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasI/index.html,C,Journal,1
27,CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html,C,Journal,1
28,TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html,C,Journal,1
29,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/,A,Conference,1
30,FAST,Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/,A,Conference,1
31,DAC,Design Automation Conference,ACM,https://dblp.uni-trier.de/db/conf/dac/,A,Conference,1
32,HPCA,High-Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/cnhpca/,A,Conference,1
33,MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM,http://dblp.uni-trier.de/db/journals/micro/,A,Conference,1
34,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.uni-trier.de/db/conf/sc/,A,Conference,1
35,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/,A,Conference,1
36,ISCA,International Symposium on Computer Architecture,ACM /IEEE,http://dblp.uni-trier.de/db/conf/isca/,A,Conference,1
37,USENIX ATC,USENIX Annul Technical Conference,USENIX,http://dblp.uni-trier.de/db/conf/usenix/index.html,A,Conference,1
38,EuroSys,European Conference on Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/eurosys/,A,Conference,1
39,SoCC,ACM Symposium on Cloud Computing,ACM,http://dblp.uni-trier.de/db/conf/cloud/,B,Conference,1
40,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,http://dblp.uni-trier.de/db/conf/spaa/,B,Conference,1
41,PODC,ACM Symposium on Principles of Distributed Computing,ACM,http://dblp.uni-trier.de/db/conf/podc/,B,Conference,1
42,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,http://dblp.uni-trier.de/db/conf/fpga/,B,Conference,1
43,CGO,Code Generation and Optimization,IEEE/ACM,http://dblp.uni-trier.de/db/conf/cgo/,B,Conference,1
44,DATE,"Design, Automation & Test in Europe",IEEE/ACM,http://dblp.uni-trier.de/db/conf/date/,B,Conference,1
45,HOT CHIPS,ACM Symposium on High Performance Chips,IEEE,http://www.hotchips.org/,B,Conference,1
46,CLUSTER,IEEE International Conference on Cluster Computing,IEEE,https://dblp.uni-trier.de/db/conf/cluster/,B,Conference,1
47,ICCD,International Conference on Computer Design,IEEE,http://dblp.uni-trier.de/db/conf/iccd/,B,Conference,1
48,ICCAD,International Conference on Computer-Aided Design,IEEE/ACM,http://dblp.uni-trier.de/db/conf/iccad/,B,Conference,1
49,ICDCS,International Conference on Distributed Computing Systems,IEEE,http://dblp.uni-trier.de/db/conf/icdcs/,B,Conference,1
50,CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,ACM/ IEEE,http://dblp.uni-trier.de/db/conf/codes/index.html,B,Conference,1
